city,year,TMAX,TMIN,TAVG,TMAX_EXTREME,TMIN_EXTREME,PRCP_SUM
Harbin,1975,11.824657534246576,-0.36739726027397257,5.728630136986302,33.3,-27.1,353.90000000000003
Harbin,1976,9.515300546448087,-2.526775956284153,3.494262295081967,34.8,-35.6,363.1
Harbin,1977,9.535342465753425,-2.303835616438356,3.6157534246575347,34.6,-35.5,545.6999999999999
Harbin,1978,10.017534246575343,-1.9002739726027398,4.058630136986301,34.8,-32.7,423.3
Harbin,1979,10.4586301369863,-1.4183561643835618,4.520136986301369,36.3,-31.6,418.2
Harbin,1980,8.64398907103825,-2.051639344262295,3.2961748633879777,36.4,-36.7,601.0
Harbin,1981,9.721643835616439,-1.6383561643835616,4.041643835616439,34.8,-30.9,622.5
Harbin,1982,11.614246575342465,-0.9060273972602739,5.354109589041095,35.6,-31.6,532.5
Harbin,1983,10.086027397260274,-1.4282191780821916,4.3289041095890415,32.9,-33.2,534.5
Harbin,1984,9.31256830601093,-2.2639344262295085,3.5243169398907104,31.9,-33.7,619.1
Harbin,1985,9.18164383561644,-2.3547945205479452,3.413424657534247,35.0,-37.7,745.9000000000001
Harbin,1986,9.612602739726027,-1.6383561643835616,3.9871232876712326,33.4,-33.3,512.3
Harbin,1987,9.153424657534247,-2.274246575342466,3.4395890410958905,31.5,-36.1,684.0
Harbin,1988,9.838251366120218,-1.425136612021858,4.20655737704918,33.6,-30.1,609.1
Harbin,1989,11.09917808219178,-1.0347945205479452,5.032191780821917,34.5,-33.0,345.5
Harbin,1990,11.174246575342465,-0.019452054794520543,5.5773972602739725,32.4,-37.5,490.6
Harbin,1991,10.353698630136986,-1.2657534246575342,4.543972602739726,32.2,-30.9,597.3
Harbin,1992,10.356284153005465,-1.7510928961748633,4.3025956284153,33.6,-33.0,462.0
Harbin,1993,9.92054794520548,-1.3936986301369862,4.263424657534246,33.6,-32.2,552.7
Harbin,1994,10.336986301369864,-1.0465753424657533,4.645205479452056,34.7,-34.6,818.8000000000001
Harbin,1995,11.04986301369863,-0.24246575342465754,5.4036986301369865,33.7,-27.3,424.7
Harbin,1996,10.652732240437158,-0.4510928961748634,5.100819672131148,33.7,-27.7,480.7
Harbin,1997,11.247397260273972,0.3778082191780822,5.812602739726027,36.7,-30.3,481.9
Harbin,1998,11.522739726027398,0.9295890410958902,6.226164383561644,33.7,-28.6,659.2
Harbin,1999,10.175890410958903,-0.2216438356164384,4.977123287671232,34.7,-27.8,438.6
Harbin,2000,9.999726775956285,-0.7909836065573771,4.604371584699454,36.5,-33.0,488.0
Harbin,2001,10.41945205479452,-0.3871232876712329,5.016164383561644,39.2,-37.3,385.2
Harbin,2002,10.938630136986301,0.5353424657534246,5.736986301369863,32.4,-26.8,600.7
Harbin,2003,11.353150684931506,1.1775342465753424,6.265342465753425,34.2,-25.9,513.7
Harbin,2004,11.075409836065573,0.903551912568306,5.989480874316939,34.8,-29.6,525.8
